Station,SerialNum,Longitude,Latitude,UTM_E,UTM_N,Elev,JulDayN0,JulDayN1
A068,453013368,85.5801788,27.901085,360264.235,3087055.423,2110.1,101.2808681,128.8533449
A069,453013637,85.5808268,27.9018787,360329.032,3087142.617,2120.25,101.2691088,128.3621412
A070,453013821,85.5818922,27.9030832,360435.444,3087274.854,2155.02,101.2378125,128.734456
A071,453011860,85.5826447,27.9039536,360510.628,3087370.433,2195.76,101.2040625,127.5840394
A072,453005487,85.5840462,27.9050146,360649.935,3087486.378,2250.42,101.1840625,130.110706
A073,453013995,85.5842876,27.9056688,360674.538,3087558.586,2277.68,101.1664236,128.049456
A074,453013698,85.5838596,27.9064766,360633.446,3087648.578,2307.04,101.3042708,128.6986921
A075,453012672,85.5832582,27.9076963,360575.811,3087784.396,2344.44,101.2971412,128.9207292
A076,453012368,85.5828904,27.9085494,360540.71,3087879.331,2364.24,101.2904282,128.6759606
A077,453013441,85.5837906,27.9092549,360630.211,3087956.47,2384.42,101.2808912,127.5394792
A078,453013319,85.5843215,27.9101729,360683.638,3088057.575,2395.19,101.2732755,127.8140856
A079,453013708,85.5847892,27.9110515,360730.797,3088154.385,2419.82,101.2635995,127.173044
A080,453005701,85.5851687,27.9118959,360769.232,3088247.507,2438.07,101.2444329,130.2491319
A081,453005628,85.5858236,27.9130872,360835.208,3088378.749,2446.56,101.2347569,130.0527894
A082,453014092,85.5868968,27.9138957,360941.869,3088467.102,2450.89,101.2265856,128.8501736
A083,453012203,85.587418,27.9147305,360994.227,3088559.004,2460.48,101.2177894,128.4822106
A084,453005565,85.5880752,27.9157543,361060.217,3088671.685,2460.41,101.2071181,130.0548727
A085,453014060,85.5887124,27.9165985,361124.008,3088764.488,2460.03,101.1968866,128.4888079
A086,453012579,85.5892517,27.9175456,361178.292,3088868.809,2464.36,101.1851736,128.6593171
A087,453014298,85.5903595,27.9181481,361288.085,3088934.307,2485.22,101.1676968,128.3171181
