# 2023  04  10   00    36    6.095     85.7728     28.1137     4.05     0.569     0.0     0.0    0.0    208
A044 7.8388 0.9595 P
A044 12.8569 0.9609 S
A059 8.0953 0.8970 P
A059 14.5379 0.9111 S
A132 8.8706 0.9598 P
A132 14.8458 0.7660 S
A134 8.9447 0.9490 P
A134 14.2547 0.9275 S
A139 8.9590 0.9637 P
A139 14.9306 0.8760 S
A144 9.0011 0.9579 P
A144 15.2974 0.8620 S
A149 9.0352 0.9637 P
A149 14.7601 0.9175 S
A154 9.0584 0.9378 P
A159 9.0893 0.9584 P
A159 15.1775 0.9087 S
A164 9.1175 0.9740 P
A164 14.6796 0.8080 S
A169 9.0837 0.9727 P
A169 14.5630 0.8900 S
A174 9.0888 0.9809 P
A174 14.2350 0.8780 S
A179 9.1437 0.9707 P
A179 14.6273 0.8690 S
A181 9.1503 0.9720 P
A181 14.5078 0.9007 S
AX4  9.0470 0.9625 P
AX4  14.9214 0.8860 S
C05  9.1266 0.9477 P
C05  14.2686 0.8260 S
C10  9.0127 0.9523 P
C15  8.9520 0.9824 P
C15  13.9642 0.8430 S
C21  8.9419 0.9527 P
C21  13.9487 0.8850 S
C25  8.8919 0.9600 P
C25  13.9005 0.9118 S
C90  8.8662 0.9604 P
C90  13.7878 0.8660 S
C56  8.7788 0.9710 P
C56  13.7199 0.8190 S
C62  8.7488 0.9601 P
C62  13.6511 0.8880 S
C69  8.7162 0.9527 P
C69  13.4942 0.8350 S
C72  8.6593 0.9566 P
C72  13.3093 0.9031 S
C77  8.7338 0.9432 P
C77  13.4286 0.8420 S
# 2023  04  10   18    30   15.485     85.5093     27.9396    14.90     -0.062     0.0     0.0    0.0    229
2D05 4.7731 0.9055 S
2D06 4.5392 0.8080 S
2D07 2.9233 0.9008 P
2D07 4.7827 0.8450 S
2D14 5.1685 0.9417 S
2D18 5.6606 0.9096 S
2D19 6.4985 0.9632 S
2D20 4.2357 0.9006 P
2D20 6.9080 0.8720 S
A000 4.2518 0.8900 P
A004 3.4977 0.8960 P
A004 5.8945 0.9148 S
A009 5.8862 0.9571 S
A014 5.0001 0.7710 S
A024 5.4999 0.9662 S
A039 5.4304 0.8990 S
A044 5.4862 0.8820 S
A132 3.4070 0.8640 P
A134 5.8353 0.9122 S
A139 3.4212 0.9150 P
A139 5.9910 0.8760 S
A144 3.4876 0.9451 P
A154 3.4074 0.9147 P
A159 3.4970 0.9272 P
A159 6.0235 0.8560 S
A164 3.4926 0.9148 P
A169 3.4950 0.9109 P
A169 5.9863 0.8420 S
A174 3.4971 0.9513 P
A179 3.5350 0.8910 P
A179 5.9391 0.8020 S
A181 3.4987 0.9009 P
A181 6.5336 0.9375 S
C05  3.5014 0.9222 P
C15  3.3330 0.8910 P
C25  3.2895 0.8980 P
C56  3.2003 0.9200 P
C56  5.4399 0.9017 S
C62  3.1716 0.9013 P
# 2023  04  10   18    38    2.265     85.4086     27.9792    15.25     0.158     0.0     0.0    0.0    230
2D04 4.2013 0.8840 P
2D04 7.1201 0.8500 S
2D05 6.9177 0.9561 S
2D06 6.0252 0.8920 S
2D07 3.8828 0.9101 P
2D07 6.3480 0.8000 S
2D08 3.5270 0.8450 P
2D08 5.8175 0.6680 S
2D09 3.5779 0.9112 P
2D09 6.9382 0.8760 S
2D14 4.1889 0.9491 P
2D14 5.8443 0.9188 S
2D16 5.3818 0.7730 P
2D16 7.8961 0.8570 S
2D18 8.3346 0.8860 S
2D20 5.7447 0.8610 P
2D20 9.3478 0.8770 S
2D22 5.8491 0.8660 P
2D22 8.7863 0.4670 S
A009 7.8845 0.9310 S
A014 4.8285 0.8950 P
A029 7.3504 0.8150 S
A034 7.6687 0.8550 S
A039 4.6452 0.9122 P
A039 7.8268 0.9742 S
A132 4.8842 0.8660 P
A139 4.5100 0.8880 P
A139 7.3318 0.9703 S
A144 7.4365 0.9044 S
A149 7.8863 0.8370 S
A154 4.4552 0.9393 P
A159 7.4552 0.8500 S
A164 4.3966 0.8760 P
A164 6.5339 0.9060 S
A169 4.3397 0.8960 P
A169 7.3887 0.6710 S
A174 4.3187 0.9480 P
A174 7.1112 0.8920 S
A179 7.1714 0.8690 S
AX4  3.7231 0.9321 P
C05  7.0141 0.9159 S
C10  7.2747 0.7930 S
C15  6.9448 0.8460 S
C25  4.0374 0.8960 P
C25  6.7574 0.8220 S
C90  3.6524 0.9024 P
C56  3.9111 0.9040 P
C56  6.2696 0.9107 S
C62  6.1716 0.8650 S
# 2023  04  10   19    03   43.185     85.7424     27.8931    10.10     0.066     0.0     0.0    0.0    231
2D07 6.5183 0.8970 S
2D16 3.2741 0.8160 P
2D16 5.2518 0.8880 S
2D18 4.6785 0.9205 S
2D19 3.4379 0.9470 P
2D19 4.5994 0.9245 S
2D20 2.4407 0.9505 P
