C19 27.9978016 85.5574526
C20 27.9978134 85.5569965
C21 27.9977731 85.5565427
C22 27.998178 85.5559691
C23 27.9985659 85.5555113
C24 27.9985733 85.5548955
C25 27.9985194 85.5543497
C41 28.00062 85.5547209
C42 28.0012117 85.5542701
C43 28.0020569 85.5539173
C44 28.0020726 85.5532483
C45 28.0019378 85.5528283
C46 28.0020126 85.5524655
C47 28.0024826 85.5517558
C48 28.0024738 85.551141
C49 28.0021819 85.5506228
C50 28.0021692 85.5501997
C51 28.0022459 85.5497667
C52 28.0013903 85.5491847
C53 28.0017177 85.5486583
C54 28.0017341 85.548182
C55 28.0019759 85.5475981
C56 28.0023291 85.5471786
C57 28.0027237 85.5466807
C58 28.0025158 85.546135
C59 28.0022762 85.5457199
C60 28.0022327 85.5451637
C61 28.0021874 85.5447526
C62 28.0020289 85.5441616
C63 28.0026227 85.543577
C64 28.0030167 85.5427848
C65 28.0016213 85.5426938
C67 28.0006626 85.5420965
C68 28.0015011 85.5419978
C69 28.0021091 85.5417508
C70 28.0027724 85.5414963
C71 28.0032796 85.5401933
C72 28.0044958 85.5391915
C73 28.0052433 85.5387266
C74 28.0058814 85.5385532
C75 28.0064602 85.5382909
C76 28.007134 85.5383705
C77 28.0081505 85.537301
C78 28.0082878 85.5352554
C79 28.0092514 85.5344958
C80 28.0096215 85.5356437
C81 28.0103205 85.5358614
C90 27.9972969 85.5518646
C99 27.9983802 85.5659853
