# 2023 04 18 00 32 50.939 85.6864  27.5337  14.430  6.36 0 0 0      1
 2D13   4.778 1 S
# 2023 04 18 01 14 15.532 85.5566  27.5748   9.853  6.05 0 0 0      4
 A133   3.968 1 S
 A080   3.498 1 S
 A080   1.698 1 P
 A136   2.098 1 P
 A136   4.108 1 S
 A078   3.538 1 S
 A145   2.218 1 P
 A145   4.138 1 S
 A147   4.178 1 S
 A069   3.408 1 S
 A069   2.138 1 P
 A151   4.148 1 S
 A150   4.118 1 S
 A150   2.148 1 P
 A066   1.748 1 P
 A066   3.378 1 S
 A152   2.248 1 P
 A152   4.208 1 S
 A154   4.218 1 S
 A155   2.278 1 P
 A155   4.238 1 S
 A156   2.268 1 P
 A156   4.248 1 S
 A157   2.288 1 P
 A157   4.248 1 S
 A064   3.148 1 S
 A158   2.288 1 P
 A158   4.258 1 S
 A160   2.348 1 P
 A160   4.318 1 S
 A063   3.348 1 S
 A161   4.298 1 S
 A163   4.398 1 S
  BX1   1.458 1 P
  BX1   2.928 1 S
  C43   2.378 1 P
  C43   4.388 1 S
  C49   2.438 1 P
  C49   2.548 1 S
  C50   2.438 1 P
  C51   2.438 1 P
  C55   3.888 1 S
  C58   2.338 1 P
  B34   1.438 1 P
  B34   2.918 1 S
# 2023 04 18 01 34 29.650 85.6012  27.8680  12.477  7.63 0 0 0      5
 2D06   2.170 1 P
 2D06   3.780 1 S
 2D08   2.490 1 P
 2D14   2.490 1 P
 2D14   4.500 1 S
 2D13   2.980 1 P
 2D13   5.310 1 S
 2D07   3.820 1 S
 2D07   2.100 1 P
 2D15   2.500 1 P
 2D15   4.430 1 S
 2D04   3.830 1 S
 2D04   2.200 1 P
 2D05   3.570 1 S
 2D05   1.920 1 P
 2D12   2.510 1 P
 2D12   4.510 1 S
 2D03   4.070 1 S
 2D03   2.280 1 P
  B50   1.940 1 P
  B50   3.520 1 S
  B48   1.930 1 P
  B48   3.510 1 S
  B46   1.940 1 P
  B46   3.560 1 S
  B42   1.660 1 P
  B42   3.530 1 S
  B41   1.980 1 P
  B41   3.520 1 S
  B39   2.030 1 P
  B39   3.550 1 S
  B38   1.970 1 P
  B38   3.500 1 S
  B37   2.010 1 P
  B37   3.540 1 S
  B36   2.060 1 P
  B36   3.560 1 S
  B35   1.960 1 P
  B35   3.520 1 S
  B34   2.000 1 P
  B34   3.530 1 S
  B33   2.010 1 P
  B33   3.530 1 S
  B31   2.000 1 P
  B31   3.500 1 S
  B29   2.000 1 P
  B29   3.540 1 S
  B28   2.450 1 P
  B28   3.580 1 S
  B27   2.420 1 P
  B27   3.580 1 S
  B26   2.010 1 P
  B26   3.550 1 S
  B24   2.410 1 P
  B24   3.590 1 S
  B23   1.860 1 P
  B23   3.530 1 S
  B22   1.980 1 P
  B22   3.580 1 S
  BX3   2.010 1 P
  BX3   3.550 1 S
  BX2   2.060 1 P
  BX2   3.600 1 S
  B20   2.020 1 P
  B20   3.600 1 S
  B19   2.150 1 P
  B19   3.620 1 S
  BX1   1.990 1 P
  BX1   3.530 1 S
  B18   1.820 1 P
  B18   3.630 1 S
  B17   3.600 1 S
  B16   3.610 1 S
  B16   2.020 1 P
  B15   3.610 1 S
  B15   2.210 1 P
  B14   3.650 1 S
  B13   2.040 1 P
  B13   3.600 1 S
  B12   2.430 1 P
  B12   3.610 1 S
  B11   2.060 1 P
  B11   3.610 1 S
  B10   2.060 1 P
  B10   3.640 1 S
  B09   2.100 1 P
  B09   3.690 1 S
  B08   2.140 1 P
  B08   3.690 1 S
  B07   2.060 1 P
  B07   3.690 1 S
  B06   2.100 1 P
  B06   3.730 1 S
  B05   2.060 1 P
  B05   3.730 1 S
  B04   3.770 1 S
  B03   3.760 1 S
 A016   2.160 1 P
 A016   3.800 1 S
  B02   3.730 1 S
 A023   3.680 1 S
 A023   2.100 1 P
 A022   3.730 1 S
 A017   2.260 1 P
 A017   3.770 1 S
 A015   2.140 1 P
 A015   3.800 1 S
 A014   2.140 1 P
 A014   3.780 1 S
  B01   3.700 1 S
 A025   2.500 1 P
 A025   3.710 1 S
 A026   2.060 1 P
 A026   3.690 1 S
 A013   3.790 1 S
 A013   2.150 1 P
 A028   3.660 1 S
 A012   2.140 1 P
 A012   3.830 1 S
 A011   2.150 1 P
