# 2023 04 19 00 14 48.851 85.5553  28.2661   8.894  6.44 0 0 0      1
 A108   4.418 1 S
 A100   2.308 1 P
 A100   4.218 1 S
 A101   2.278 1 P
 A101   4.218 1 S
 A102   4.328 1 S
 A099   4.298 1 S
 A099   2.308 1 P
 A098   4.268 1 S
 A098   2.328 1 P
 A097   2.328 1 P
 A109   2.328 1 P
 A109   4.218 1 S
  AX6   2.328 1 P
  AX6   4.378 1 S
 A096   2.298 1 P
 A096   4.298 1 S
  AX5   2.318 1 P
  AX5   4.168 1 S
 A095   2.308 1 P
 A095   4.668 1 S
 A111   2.348 1 P
 A089   4.258 1 S
 A089   2.248 1 P
 A090   4.128 1 S
 A090   2.238 1 P
 A134   2.618 1 P
 A088   2.248 1 P
 A088   4.318 1 S
 A139   2.638 1 P
 A144   2.648 1 P
 A145   2.718 1 P
 A145   4.808 1 S
 A086   2.288 1 P
 A086   4.168 1 S
 A147   2.748 1 P
 A147   4.868 1 S
 A148   2.748 1 P
 A148   4.768 1 S
 A084   2.268 1 P
 A084   4.158 1 S
 A155   2.788 1 P
 A155   4.878 1 S
 A157   2.838 1 P
 A160   2.868 1 P
 A160   5.028 1 S
 A161   2.878 1 P
 A161   5.008 1 S
 A162   2.878 1 P
 A162   5.088 1 S
 A165   2.928 1 P
 A166   2.928 1 P
 A167   2.928 1 P
 A070   2.238 1 P
 A070   4.128 1 S
 A069   2.248 1 P
 A069   4.188 1 S
 A064   2.288 1 P
 A064   4.188 1 S
  AX4   2.558 1 P
 A063   4.168 1 S
 A063   2.308 1 P
  C03   3.158 1 P
  C03   5.208 1 S
 A062   4.138 1 S
 A062   2.278 1 P
 A060   4.128 1 S
 A060   2.288 1 P
  C06   5.178 1 S
 A059   2.328 1 P
 A059   4.068 1 S
  C42   2.968 1 P
  C42   5.118 1 S
 A051   2.368 1 P
 A051   4.228 1 S
 A045   4.158 1 S
  C48   3.008 1 P
 A044   4.128 1 S
 A050   4.158 1 S
  C49   3.008 1 P
 A049   4.178 1 S
 A048   4.128 1 S
 A005   2.328 1 P
 A006   4.118 1 S
 A006   2.338 1 P
 A007   4.128 1 S
 A007   2.388 1 P
 A008   4.108 1 S
 A008   2.328 1 P
 A009   4.138 1 S
 A009   2.348 1 P
 A010   4.108 1 S
 A010   2.358 1 P
  B06   3.998 1 S
  B09   4.018 1 S
  B10   3.958 1 S
  BX1   3.928 1 S
  BX1   2.248 1 P
  B34   3.988 1 S
  B34   2.268 1 P
  B38   4.018 1 S
  B38   2.278 1 P
  B42   3.998 1 S
 2D03   2.718 1 P
 2D03   4.848 1 S
# 2023 04 19 05 02 43.746 85.5720  28.2416  11.875  6.33 0 0 0      6
  C71   2.214 1 P
  C71   3.924 1 S
  C56   2.324 1 P
  C56   4.054 1 S
  C55   2.324 1 P
  C55   4.044 1 S
  C54   4.154 1 S
  C53   4.124 1 S
 2D07   1.964 1 P
  C43   2.354 1 P
  C43   4.194 1 S
  C42   2.344 1 P
  C42   4.204 1 S
  C20   2.384 1 P
  C20   4.224 1 S
 2D09   2.124 1 P
  B38   2.304 1 P
  B38   4.004 1 S
  C07   4.364 1 S
 A176   4.474 1 S
 A176   2.564 1 P
 A175   4.454 1 S
 A175   2.604 1 P
 A014   4.334 1 S
 A045   2.444 1 P
 A051   4.214 1 S
 A051   2.444 1 P
 A043   2.454 1 P
 A043   4.154 1 S
 A059   2.354 1 P
 A165   2.524 1 P
 A063   2.394 1 P
 A079   2.354 1 P
 A086   2.354 1 P
 A086   4.084 1 S
 A089   4.324 1 S
 A094   2.384 1 P
 A095   2.404 1 P
 A096   2.404 1 P
  AX5   3.964 1 S
  AX5   2.324 1 P
 A098   2.424 1 P
 A098   4.284 1 S
 A099   2.434 1 P
 A099   4.214 1 S
 A100   2.404 1 P
 A100   4.244 1 S
 A101   2.364 1 P
 A101   4.074 1 S
# 2023 04 19 05 04 40.483 85.5574  27.8757  11.770  6.36 0 0 0      7
 A097   4.217 1 S
 A095   4.357 1 S
 A095   2.427 1 P
 A098   2.427 1 P
 A098   4.257 1 S
 A099   2.417 1 P
 A099   4.237 1 S
 A100   2.427 1 P
 A100   4.217 1 S
 A094   4.267 1 S
 A094   2.407 1 P
 A088   4.017 1 S
 A088   2.347 1 P
  AX5   2.347 1 P
  AX5   3.947 1 S
 A014   2.417 1 P
 A045   2.457 1 P
 A151   2.267 1 P
 A150   2.427 1 P
 A155   2.427 1 P
 A168   2.517 1 P
 A180   2.567 1 P
 A180   4.287 1 S
  C03   4.427 1 S
  C06   2.457 1 P
  C06   4.377 1 S
  C07   2.457 1 P
  C07   4.347 1 S
  C41   2.347 1 P
  C41   3.897 1 S
  C42   2.347 1 P
  C42   4.057 1 S
  C43   2.347 1 P
  C43   4.017 1 S
  B38   4.007 1 S
  B38   2.307 1 P
  C55   2.307 1 P
  C56   2.357 1 P
  C56   4.087 1 S
 2D07   3.717 1 S
 2D07   1.967 1 P
# 2023 04 19 05 06 42.942 85.5645  28.2069  12.330  6.30 0 0 0      8
  C72   3.928 1 S
  C59   4.108 1 S
  C59   2.358 1 P
  C58   4.108 1 S
  C58   2.358 1 P
  C57   4.158 1 S
  C57   2.408 1 P
  C56   4.148 1 S
  C56   2.388 1 P
  C55   4.128 1 S
  C55   2.358 1 P
 2D03   4.688 1 S
 2D03   2.758 1 P
  C49   2.378 1 P
 2D06   1.908 1 P
 2D06   3.348 1 S
 2D07   2.038 1 P
 2D07   3.688 1 S
  C43   2.408 1 P
  C43   4.248 1 S
  C42   2.408 1 P
  C42   4.228 1 S
  C41   2.408 1 P
  C41   4.178 1 S
 2D09   2.178 1 P
 2D09   3.938 1 S
  B35   2.398 1 P
  B34   4.018 1 S
  B34   2.398 1 P
  BX3   2.438 1 P
  BX3   4.218 1 S
  BX1   2.448 1 P
  BX1   4.068 1 S
  C03   4.488 1 S
 A014   2.618 1 P
 A014   4.628 1 S
 A050   4.238 1 S
 A010   2.688 1 P
 A176   2.568 1 P
 A176   4.458 1 S
 A175   2.558 1 P
 A051   2.488 1 P
 A009   2.718 1 P
 A009   4.698 1 S
  AX3   2.478 1 P
 A060   2.418 1 P
 A062   2.448 1 P
 A169   2.538 1 P
