# 2023 04 13 00 19  6.761 85.5622  28.1551  10.567  6.21 0 0 0      1
 2D04   4.499 1 S
 A139   2.720 1 P
 A078   4.250 1 S
 A078   2.050 1 P
 A141   4.740 1 S
 A141   2.770 1 P
 A146   4.870 1 S
 A153   4.700 1 S
 A150   4.620 1 S
 A152   2.750 1 P
 A152   4.700 1 S
 A154   4.690 1 S
 A154   2.750 1 P
 A155   4.740 1 S
 A155   2.740 1 P
 A156   4.750 1 S
 A156   2.770 1 P
 A157   4.750 1 S
 A157   2.760 1 P
 A064   2.370 1 P
 A158   4.730 1 S
 A158   2.770 1 P
 A159   2.760 1 P
 A160   4.810 1 S
 A160   2.810 1 P
 A063   2.340 1 P
 A063   4.100 1 S
 A161   4.730 1 S
 A161   2.810 1 P
 A162   4.820 1 S
 A162   2.810 1 P
 A163   4.850 1 S
 A163   2.810 1 P
 A060   2.420 1 P
 A060   4.180 1 S
 A164   4.870 1 S
 A164   2.810 1 P
 A165   4.810 1 S
 A167   4.940 1 S
 A167   2.770 1 P
 A168   5.020 1 S
 A168   2.840 1 P
 A169   4.820 1 S
 A169   2.830 1 P
 A053   4.050 1 S
 A053   2.320 1 P
  AX1   4.970 1 S
  AX1   2.850 1 P
 A170   2.840 1 P
 A010   2.340 1 P
 A045   2.290 1 P
  AX3   2.760 1 P
 A171   2.840 1 P
 A174   2.840 1 P
 A174   4.860 1 S
 A175   2.810 1 P
 A175   4.860 1 S
 A176   4.930 1 S
 A014   2.060 1 P
  C03   2.850 1 P
  C03   4.850 1 S
  C06   2.790 1 P
  C06   4.810 1 S
  C07   2.810 1 P
  C07   4.790 1 S
  C09   2.750 1 P
  C09   4.680 1 S
  C11   2.730 1 P
  C14   2.760 1 P
  C14   4.710 1 S
  C15   2.710 1 P
  C15   4.630 1 S
  C16   2.760 1 P
  C16   4.750 1 S
  C17   2.760 1 P
  C17   4.710 1 S
  C18   2.720 1 P
  C18   4.710 1 S
  C19   4.680 1 S
  C23   4.680 1 S
  C41   2.650 1 P
  C41   4.610 1 S
  C42   2.670 1 P
  C42   4.650 1 S
  C43   2.680 1 P
  C43   4.680 1 S
  C44   2.690 1 P
  C44   4.740 1 S
 2D09   4.120 1 S
 2D09   2.370 1 P
  C47   2.690 1 P
  C47   4.720 1 S
  C48   2.670 1 P
  C48   4.740 1 S
  C49   2.680 1 P
  C49   4.690 1 S
  C50   2.670 1 P
  C50   4.660 1 S
  BX1   3.620 1 S
  BX1   2.170 1 P
  C51   2.680 1 P
  C51   4.670 1 S
  C52   4.590 1 S
  C53   2.560 1 P
  C53   4.650 1 S
  C54   2.650 1 P
  C54   4.630 1 S
  C56   2.650 1 P
  C56   4.570 1 S
  C57   2.640 1 P
  C57   4.590 1 S
  C58   2.630 1 P
  C58   4.530 1 S
