# 2023 04 12 00 30 33.397 85.3933  28.3791  37.190  7.68 0 0 0      1
 A107   2.473 1 P
 A092   2.403 1 P
  AX6   2.423 1 P
 A091   2.393 1 P
 A089   2.433 1 P
  AX5   2.433 1 P
 A090   2.413 1 P
 A090   4.233 1 S
 A087   2.403 1 P
 A086   2.423 1 P
 A085   2.403 1 P
 A084   2.393 1 P
 A082   2.423 1 P
 A080   2.463 1 P
 A079   2.433 1 P
 A078   2.413 1 P
 A077   2.433 1 P
 A076   2.433 1 P
 A008   4.323 1 S
 A008   2.583 1 P
 A069   2.393 1 P
 A068   2.393 1 P
 A009   4.403 1 S
 A009   2.533 1 P
 A067   2.393 1 P
 A133   2.623 1 P
 A134   2.623 1 P
 A010   2.543 1 P
 A010   4.283 1 S
 A135   2.633 1 P
 A136   2.593 1 P
 A139   2.633 1 P
 A140   2.623 1 P
 A140   4.683 1 S
 A141   2.673 1 P
 A142   2.673 1 P
 A142   4.633 1 S
 A143   2.663 1 P
 A144   2.443 1 P
 A144   4.793 1 S
 A145   2.693 1 P
 A146   2.703 1 P
 A146   4.813 1 S
 A147   2.713 1 P
 A147   4.723 1 S
 A148   2.703 1 P
 A148   4.763 1 S
 A149   2.723 1 P
 A149   5.143 1 S
 A151   2.693 1 P
 A151   4.723 1 S
 A150   2.673 1 P
 A150   4.713 1 S
 A153   2.713 1 P
 A153   4.713 1 S
 A152   2.713 1 P
 A152   4.743 1 S
 A154   2.713 1 P
 A154   4.693 1 S
 A155   2.713 1 P
 A155   4.733 1 S
 A156   2.743 1 P
 A156   4.753 1 S
 A052   2.423 1 P
 A157   2.753 1 P
 A157   4.733 1 S
 A043   4.243 1 S
 A043   2.423 1 P
 A158   2.723 1 P
 A159   2.773 1 P
 A160   2.783 1 P
 A160   4.803 1 S
 A161   2.783 1 P
 A161   4.753 1 S
 A162   2.783 1 P
 A162   4.793 1 S
 A023   4.243 1 S
 A163   2.793 1 P
 A163   4.823 1 S
 A164   2.813 1 P
 A164   4.843 1 S
 A165   2.823 1 P
 A166   2.823 1 P
 A166   4.823 1 S
 A167   2.813 1 P
 A167   5.013 1 S
 A168   2.823 1 P
 A168   4.883 1 S
 A169   2.833 1 P
 A169   4.083 1 S
  AX1   2.823 1 P
  AX1   4.883 1 S
 A170   2.833 1 P
 A170   4.933 1 S
  AX2   2.823 1 P
  AX3   2.793 1 P
  AX3   4.813 1 S
 A171   4.953 1 S
 A171   2.873 1 P
  AX4   2.783 1 P
  AX4   4.873 1 S
 A172   4.933 1 S
 A172   2.863 1 P
 A173   4.883 1 S
 A174   4.893 1 S
 A174   2.853 1 P
 A175   4.873 1 S
 A175   2.833 1 P
  C02   2.833 1 P
  C99   2.843 1 P
  C99   4.883 1 S
  C03   2.863 1 P
  C03   4.893 1 S
  C06   2.823 1 P
  C06   4.863 1 S
  C07   2.833 1 P
  C07   4.873 1 S
  C09   4.823 1 S
  C11   2.793 1 P
  C11   4.833 1 S
  C12   4.693 1 S
  C15   2.753 1 P
  C15   4.743 1 S
  C16   4.803 1 S
  C17   2.753 1 P
  C18   2.803 1 P
  C20   2.753 1 P
  C20   4.793 1 S
  C21   2.823 1 P
  C21   4.733 1 S
  C22   2.773 1 P
  C22   4.793 1 S
  C41   2.723 1 P
  C41   4.703 1 S
  C42   2.733 1 P
  C42   4.753 1 S
  C43   2.743 1 P
  C43   4.753 1 S
 2D09   4.403 1 S
 2D09   2.463 1 P
  C47   2.743 1 P
  C48   2.793 1 P
  C49   2.753 1 P
  C49   4.783 1 S
  C50   2.753 1 P
  C50   4.753 1 S
  C51   2.743 1 P
  C51   4.753 1 S
  C52   2.713 1 P
  C52   4.713 1 S
  C53   2.743 1 P
  C53   4.733 1 S
  C54   2.713 1 P
  C54   4.733 1 S
  C57   2.713 1 P
  C57   4.703 1 S
  C58   2.713 1 P
  C58   4.673 1 S
  C59   2.713 1 P
  C59   4.663 1 S
  C64   2.713 1 P
  C64   4.673 1 S
